,1,2,3,4,5,6,7,8,9,10,11,12,13,14
1,16,16,16,16,16,16,16,16,16,16,16,16,16,16
2,16,256,160,160,64,64,64,64,64,256,160,160,160,256
3,8,64,128,64,32,32,88,56,24,128,192,64,128,256
4,8,64,96,96,32,32,72,72,72,128,160,160,128,256
5,16,64,96,64,64,48,64,48,32,128,128,64,80,256
6,8,64,96,64,32,48,56,40,24,128,128,64,80,256
7,4,16,64,16,16,16,100,36,4,64,144,16,64,256
8,4,16,64,16,16,16,68,52,4,64,144,16,64,256
9,4,16,64,16,16,16,68,36,36,64,144,16,64,256
10,16,256,640,256,128,128,240,144,48,1024,1024,256,352,4096
11,8,64,512,64,64,64,264,136,8,512,1088,64,224,4096
12,8,64,512,64,64,64,232,168,104,512,960,448,224,4096
13,8,64,512,64,64,64,232,120,8,512,960,64,224,4096
14,16,256,4096,256,256,256,976,496,16,4096,7936,256,736,65536
