,32.1 C32,32.2 (C4 x C2) : C4,32.3 C8 x C4,32.4 C8 : C4,32.5 (C8 x C2) : C2,32.6 (C2 x C2 x C2) : C4,32.7 (C8 : C2) : C2,32.8 C2 . ((C4 x C2) : C2) = (C2 x C2) . (C4 x C2),32.9 (C8 x C2) : C2,32.10 Q8 : C4,32.11 (C4 x C4) : C2,32.12 C4 : C8,32.13 C8 : C4,32.14 C8 : C4,32.15 C4 . D8 = C4 . (C4 x C2),32.16 C16 x C2,32.17 C16 : C2,32.18 D32,32.19 QD32,32.20 Q32,32.21 C4 x C4 x C2,32.22 C2 x ((C4 x C2) : C2),32.23 C2 x (C4 : C4),32.24 (C4 x C4) : C2,32.25 C4 x D8,32.26 C4 x Q8,32.27 (C2 x C2 x C2 x C2) : C2,32.28 (C4 x C2 x C2) : C2,32.29 (C2 x Q8) : C2,32.30 (C4 x C2 x C2) : C2,32.31 (C4 x C4) : C2,32.32 (C2 x C2) . (C2 x C2 x C2),32.33 (C4 x C4) : C2,32.34 (C4 x C4) : C2,32.35 C4 : Q8,32.36 C8 x C2 x C2,32.37 C2 x (C8 : C2),32.38 (C8 x C2) : C2,32.39 C2 x D16,32.40 C2 x QD16,32.41 C2 x Q16,32.42 (C8 x C2) : C2,32.43 C8 : (C2 x C2),32.44 (C2 x Q8) : C2,32.45 C4 x C2 x C2 x C2,32.46 C2 x C2 x D8,32.47 C2 x C2 x Q8,32.48 C2 x ((C4 x C2) : C2),32.49 (C2 x C2 x C2) : (C2 x C2),32.50 (C2 x Q8) : C2,32.51 C2 x C2 x C2 x C2 x C2
16.1 C16,16,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32
16.2 C4 x C4,16,640,256,256,256,352,160,160,256,256,352,256,256,256,64,64,64,112,112,112,1024,640,640,640,640,640,448,448,448,448,448,448,448,448,448,256,256,160,256,256,256,256,256,256,1024,640,640,640,544,544,1024
16.3 (C4 x C2) : C2,8,256,64,64,128,320,192,64,224,96,160,64,96,96,32,32,32,168,104,40,256,512,256,256,384,128,640,512,256,384,384,128,256,640,128,128,128,128,352,224,96,224,288,160,512,768,256,512,640,384,1024
16.4 C4 : C4,8,256,64,64,128,224,160,160,224,224,160,64,160,160,32,32,32,136,136,136,256,384,384,256,320,320,448,384,384,320,320,320,256,448,448,128,128,128,288,288,288,224,256,256,512,640,640,512,544,544,1024
16.5 C8 x C2,16,256,128,128,192,192,160,96,192,128,128,128,128,128,96,64,64,112,80,48,256,384,256,192,256,128,352,256,192,224,192,128,160,256,128,256,192,160,256,192,128,160,192,128,512,512,256,320,352,224,1024
16.6 C8 : C2,8,256,64,64,128,192,160,96,160,96,128,64,96,96,64,32,32,104,72,40,256,384,256,192,256,128,352,256,192,224,192,128,160,256,128,128,192,128,224,160,96,128,192,128,512,512,256,320,352,224,1024
16.7 D16,4,64,16,16,64,144,144,16,144,16,64,16,16,16,16,16,16,196,100,4,64,256,64,64,144,16,400,256,64,144,144,16,64,400,16,64,64,64,400,144,16,144,256,64,256,576,64,256,400,144,1024
16.8 QD16,4,64,16,16,64,144,144,16,144,16,64,16,16,16,16,16,16,132,68,4,64,256,64,64,144,16,400,256,64,144,144,16,64,400,16,64,64,64,272,208,16,144,224,96,256,576,64,256,400,144,1024
16.9 Q16,4,64,16,16,64,144,144,16,144,16,64,16,16,16,16,16,16,132,100,68,64,256,64,64,144,16,400,256,64,144,144,16,64,400,16,64,64,64,272,144,144,144,192,128,256,576,64,256,400,144,1024
16.10 C4 x C2 x C2,16,2048,256,256,1024,1280,1024,256,1152,384,480,256,384,384,128,128,128,464,272,80,2048,5120,2048,1280,2048,512,4736,2048,1280,1664,1280,512,896,2048,512,1024,1024,352,1920,1152,384,576,1248,480,8192,8192,2048,2816,3008,1088,32768
16.11 C2 x D8,8,512,64,64,512,1088,1088,64,1088,64,224,64,64,64,64,64,64,520,264,8,512,4096,512,512,1088,64,4928,1792,512,1088,1088,64,512,2624,64,512,512,224,2112,1088,64,384,1248,224,4096,8704,512,1792,3392,448,32768
16.12 C2 x Q8,8,512,64,64,512,960,960,448,960,448,224,64,64,64,64,64,64,456,328,200,512,4096,512,512,960,448,4544,1408,896,960,1344,64,512,1856,832,512,512,224,1856,1344,832,384,1120,608,4096,7680,3584,1792,2624,1728,32768
16.13 (C4 x C2) : C2,8,512,64,64,512,960,960,64,960,64,224,64,64,64,64,64,64,456,232,8,512,4096,512,512,960,64,4544,1408,512,960,960,64,512,1856,64,512,512,224,1856,960,64,384,1120,224,4096,7680,512,1792,2816,768,32768
16.14 C2 x C2 x C2 x C2,16,4096,256,256,4096,7936,7936,256,7936,256,736,256,256,256,256,256,256,1936,976,16,4096,65536,4096,4096,7936,256,69376,11776,4096,7936,7936,256,4096,15616,256,4096,4096,736,15616,7936,256,1216,8416,736,65536,126976,4096,11776,22336,1216,1048576
