,16.1 C16,16.2 C4 x C4,16.3 (C4 x C2) : C2,16.4 C4 : C4,16.5 C8 x C2,16.6 C8 : C2,16.7 D16,16.8 QD16,16.9 Q16,16.10 C4 x C2 x C2,16.11 C2 x D8,16.12 C2 x Q8,16.13 (C4 x C2) : C2,16.14 C2 x C2 x C2 x C2
32.1 C32,16,16,16,16,16,16,16,16,16,16,16,16,16,16
32.2 (C4 x C2) : C4,16,256,256,256,64,64,112,112,112,256,256,256,256,256
32.3 C8 x C4,32,256,160,160,128,96,80,80,80,256,160,160,160,256
32.4 C8 : C4,16,256,160,160,64,96,64,64,64,256,160,160,160,256
32.5 (C8 x C2) : C2,16,64,128,64,64,64,96,64,32,128,192,64,128,256
32.6 (C2 x C2 x C2) : C4,8,64,128,64,32,32,88,56,24,128,192,64,128,256
32.7 (C8 : C2) : C2,8,64,128,64,32,32,88,56,24,128,192,64,128,256
32.8 C2 . ((C4 x C2) : C2) = (C2 x C2) . (C4 x C2),8,64,128,64,32,32,88,56,24,128,192,64,128,256
32.9 (C8 x C2) : C2,8,64,128,64,32,32,120,72,24,128,192,64,128,256
32.10 Q8 : C4,8,64,128,64,32,32,88,72,56,128,192,64,128,256
32.11 (C4 x C4) : C2,8,64,128,64,32,32,88,56,24,128,192,64,128,256
32.12 C4 : C8,16,64,96,96,64,64,80,80,80,128,160,160,128,256
32.13 C8 : C4,8,64,96,96,32,32,72,104,72,128,160,160,128,256
32.14 C8 : C4,8,64,96,96,32,32,104,72,104,128,160,160,128,256
32.15 C4 . D8 = C4 . (C4 x C2),8,64,96,96,32,32,72,72,72,128,160,160,128,256
32.16 C16 x C2,32,64,96,64,64,48,64,48,32,128,128,64,80,256
32.17 C16 : C2,16,64,96,64,64,48,64,48,32,128,128,64,80,256
32.18 D32,4,16,64,16,16,16,100,36,4,64,144,16,64,256
32.19 QD32,4,16,64,16,16,16,100,36,4,64,144,16,64,256
32.20 Q32,4,16,64,16,16,16,100,36,4,64,144,16,64,256
32.21 C4 x C4 x C2,32,1024,896,640,256,256,256,192,128,2048,1152,640,704,4096
32.22 C2 x ((C4 x C2) : C2),16,256,768,256,128,128,304,176,48,1024,1280,256,448,4096
32.23 C2 x (C4 : C4),16,256,640,384,128,128,272,208,144,1024,1152,640,448,4096
32.24 (C4 x C4) : C2,16,256,640,256,128,128,240,144,48,1024,1024,256,448,4096
32.25 C4 x D8,16,256,640,256,128,128,272,160,48,1024,1152,256,448,4096
32.26 C4 x Q8,16,256,640,256,128,128,240,192,144,1024,1024,640,448,4096
32.27 (C2 x C2 x C2 x C2) : C2,8,64,512,64,64,64,328,168,8,512,1344,64,320,4096
32.28 (C4 x C2 x C2) : C2,8,64,512,64,64,64,296,152,8,512,1216,64,320,4096
32.29 (C2 x Q8) : C2,8,64,512,64,64,64,264,184,104,512,1088,448,320,4096
32.30 (C4 x C2 x C2) : C2,8,64,512,64,64,64,264,136,8,512,1088,64,320,4096
32.31 (C4 x C4) : C2,8,64,512,64,64,64,264,136,8,512,1088,64,320,4096
32.32 (C2 x C2) . (C2 x C2 x C2),8,64,512,64,64,64,232,168,104,512,960,448,320,4096
32.33 (C4 x C4) : C2,8,64,512,64,64,64,232,120,8,512,960,64,320,4096
32.34 (C4 x C4) : C2,8,64,512,64,64,64,328,168,8,512,1344,64,320,4096
32.35 C4 : Q8,8,64,512,64,64,64,264,232,200,512,1088,832,320,4096
32.36 C8 x C2 x C2,32,256,640,256,256,160,256,160,64,1024,1024,256,352,4096
32.37 C2 x (C8 : C2),16,256,640,256,128,160,240,144,48,1024,1024,256,352,4096
32.38 (C8 x C2) : C2,16,256,640,256,128,128,240,144,48,1024,1024,256,352,4096
32.39 C2 x D16,8,64,512,64,64,64,328,136,8,512,1088,64,224,4096
32.40 C2 x QD16,8,64,512,64,64,64,264,168,8,512,1088,64,224,4096
32.41 C2 x Q16,8,64,512,64,64,64,264,136,72,512,1088,64,224,4096
32.42 (C8 x C2) : C2,8,64,512,64,64,64,264,136,8,512,1088,64,224,4096
32.43 C8 : (C2 x C2),8,64,512,64,64,64,264,136,8,512,1088,64,224,4096
32.44 (C2 x Q8) : C2,8,64,512,64,64,64,264,136,8,512,1088,64,224,4096
32.45 C4 x C2 x C2 x C2,32,1024,4608,1024,512,512,992,544,96,8192,8192,1024,1472,65536
32.46 C2 x C2 x D8,16,256,4096,256,256,256,1040,528,16,4096,8448,256,832,65536
32.47 C2 x C2 x Q8,16,256,4096,256,256,256,976,592,208,4096,7936,1792,832,65536
32.48 C2 x ((C4 x C2) : C2),16,256,4096,256,256,256,976,496,16,4096,7936,256,832,65536
32.49 (C2 x C2 x C2) : (C2 x C2),16,256,4096,256,256,256,976,496,16,4096,7936,256,736,65536
32.50 (C2 x Q8) : C2,16,256,4096,256,256,256,976,496,16,4096,7936,256,736,65536
32.51 C2 x C2 x C2 x C2 x C2,32,1024,32768,1024,1024,1024,4000,2016,32,32768,64512,1024,3008,1048576
