,8.1 C8,8.2 C4 x C2,8.3 D8,8.4 Q8,8.5 C2 x C2 x C2
32.1 C32,8,8,8,8,8
32.2 (C4 x C2) : C4,16,64,64,64,64
32.3 C8 x C4,32,64,40,40,64
32.4 C8 : C4,16,64,40,40,64
32.5 (C8 x C2) : C2,16,32,48,16,64
32.6 (C2 x C2 x C2) : C4,8,32,48,16,64
32.7 (C8 : C2) : C2,8,32,48,16,64
32.8 C2 . ((C4 x C2) : C2) = (C2 x C2) . (C4 x C2),8,32,48,16,64
32.9 (C8 x C2) : C2,8,32,48,16,64
32.10 Q8 : C4,8,32,48,16,64
32.11 (C4 x C4) : C2,8,32,48,16,64
32.12 C4 : C8,16,32,40,40,64
32.13 C8 : C4,8,32,40,40,64
32.14 C8 : C4,8,32,40,40,64
32.15 C4 . D8 = C4 . (C4 x C2),8,32,40,40,64
32.16 C16 x C2,16,32,32,16,64
32.17 C16 : C2,16,32,32,16,64
32.18 D32,4,16,36,4,64
32.19 QD32,4,16,36,4,64
32.20 Q32,4,16,36,4,64
32.21 C4 x C4 x C2,32,256,144,80,512
32.22 C2 x ((C4 x C2) : C2),16,128,160,32,512
32.23 C2 x (C4 : C4),16,128,144,80,512
32.24 (C4 x C4) : C2,16,128,128,32,512
32.25 C4 x D8,16,128,144,32,512
32.26 C4 x Q8,16,128,128,80,512
32.27 (C2 x C2 x C2 x C2) : C2,8,64,168,8,512
32.28 (C4 x C2 x C2) : C2,8,64,152,8,512
32.29 (C2 x Q8) : C2,8,64,136,56,512
32.30 (C4 x C2 x C2) : C2,8,64,136,8,512
32.31 (C4 x C4) : C2,8,64,136,8,512
32.32 (C2 x C2) . (C2 x C2 x C2),8,64,120,56,512
32.33 (C4 x C4) : C2,8,64,120,8,512
32.34 (C4 x C4) : C2,8,64,168,8,512
32.35 C4 : Q8,8,64,136,104,512
32.36 C8 x C2 x C2,32,128,128,32,512
32.37 C2 x (C8 : C2),16,128,128,32,512
32.38 (C8 x C2) : C2,16,128,128,32,512
32.39 C2 x D16,8,64,136,8,512
32.40 C2 x QD16,8,64,136,8,512
32.41 C2 x Q16,8,64,136,8,512
32.42 (C8 x C2) : C2,8,64,136,8,512
32.43 C8 : (C2 x C2),8,64,136,8,512
32.44 (C2 x Q8) : C2,8,64,136,8,512
32.45 C4 x C2 x C2 x C2,32,512,512,64,4096
32.46 C2 x C2 x D8,16,256,528,16,4096
32.47 C2 x C2 x Q8,16,256,496,112,4096
32.48 C2 x ((C4 x C2) : C2),16,256,496,16,4096
32.49 (C2 x C2 x C2) : (C2 x C2),16,256,496,16,4096
32.50 (C2 x Q8) : C2,16,256,496,16,4096
32.51 C2 x C2 x C2 x C2 x C2,32,1024,2016,32,32768
