,81.1 C81,81.2 C9 x C9,81.3 (C9 x C3) : C3,81.4 C9 : C9,81.5 C27 x C3,81.6 C27 : C3,81.7 (C3 x C3 x C3) : C3,81.8 (C9 x C3) : C3,81.9 (C9 x C3) : C3,81.10 C3 . ((C3 x C3) : C3) = (C3 x C3) . (C3 x C3),81.11 C9 x C3 x C3,81.12 C3 x ((C3 x C3) : C3),81.13 C3 x (C9 : C3),81.14 (C9 x C3) : C3,81.15 C3 x C3 x C3 x C3
32.1 C32,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
32.2 (C4 x C2) : C4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
32.3 C8 x C4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
32.4 C8 : C4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
32.5 (C8 x C2) : C2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
32.6 (C2 x C2 x C2) : C4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
32.7 (C8 : C2) : C2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
32.8 C2 . ((C4 x C2) : C2) = (C2 x C2) . (C4 x C2),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
32.9 (C8 x C2) : C2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
32.10 Q8 : C4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
32.11 (C4 x C4) : C2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
32.12 C4 : C8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
32.13 C8 : C4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
32.14 C8 : C4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
32.15 C4 . D8 = C4 . (C4 x C2),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
32.16 C16 x C2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
32.17 C16 : C2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
32.18 D32,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
32.19 QD32,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
32.20 Q32,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
32.21 C4 x C4 x C2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
32.22 C2 x ((C4 x C2) : C2),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
32.23 C2 x (C4 : C4),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
32.24 (C4 x C4) : C2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
32.25 C4 x D8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
32.26 C4 x Q8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
32.27 (C2 x C2 x C2 x C2) : C2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
32.28 (C4 x C2 x C2) : C2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
32.29 (C2 x Q8) : C2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
32.30 (C4 x C2 x C2) : C2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
32.31 (C4 x C4) : C2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
32.32 (C2 x C2) . (C2 x C2 x C2),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
32.33 (C4 x C4) : C2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
32.34 (C4 x C4) : C2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
32.35 C4 : Q8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
32.36 C8 x C2 x C2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
32.37 C2 x (C8 : C2),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
32.38 (C8 x C2) : C2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
32.39 C2 x D16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
32.40 C2 x QD16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
32.41 C2 x Q16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
32.42 (C8 x C2) : C2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
32.43 C8 : (C2 x C2),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
32.44 (C2 x Q8) : C2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
32.45 C4 x C2 x C2 x C2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
32.46 C2 x C2 x D8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
32.47 C2 x C2 x Q8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
32.48 C2 x ((C4 x C2) : C2),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
32.49 (C2 x C2 x C2) : (C2 x C2),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
32.50 (C2 x Q8) : C2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
32.51 C2 x C2 x C2 x C2 x C2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
