,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
1,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32
2,16,1024,256,256,256,640,256,256,448,448,448,256,448,448,64,64,64,208,208,208,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,256,256,256,448,448,448,448,448,448,1024,1024,1024,1024,1024,1024,1024
3,32,640,512,384,384,352,224,224,320,320,384,384,320,320,192,128,128,128,128,128,1024,640,640,640,640,640,448,448,448,448,448,448,448,448,448,512,384,320,320,320,320,320,288,288,1024,640,640,640,544,544,1024
4,16,640,256,384,256,352,224,224,256,256,384,256,256,256,128,64,64,112,112,112,1024,640,640,640,640,640,448,448,448,448,448,448,448,448,448,256,384,256,256,256,256,256,288,288,1024,640,640,640,544,544,1024
5,16,256,128,128,256,320,256,128,256,128,192,128,128,128,128,64,64,176,112,48,256,512,256,256,384,128,640,512,256,384,384,128,256,640,128,256,256,256,384,256,128,256,320,192,512,768,256,512,640,384,1024
6,8,256,64,64,128,384,192,64,224,96,160,64,96,96,32,32,32,168,104,40,256,512,256,256,384,128,640,512,256,384,384,128,256,640,128,128,128,128,352,224,96,224,288,160,512,768,256,512,640,384,1024
7,8,256,64,64,128,320,320,64,224,96,160,64,96,96,32,32,32,168,104,40,256,512,256,256,384,128,640,512,256,384,384,128,256,640,128,128,128,128,352,224,96,224,288,160,512,768,256,512,640,384,1024
8,8,256,64,64,128,320,192,192,224,96,160,64,96,96,32,32,32,168,104,40,256,512,256,256,384,128,640,512,256,384,384,128,256,640,128,128,128,128,352,224,96,224,288,160,512,768,256,512,640,384,1024
9,8,256,64,64,128,320,192,64,288,96,160,64,96,96,32,32,32,232,136,40,256,512,256,256,384,128,640,512,256,384,384,128,256,640,128,128,128,128,480,288,96,288,384,192,512,768,256,512,640,384,1024
10,8,256,64,64,128,320,192,64,224,160,160,64,96,96,32,32,32,168,136,104,256,512,256,256,384,128,640,512,256,384,384,128,256,640,128,128,128,128,352,288,224,288,320,256,512,768,256,512,640,384,1024
11,8,256,64,64,128,320,192,64,224,96,192,64,96,96,32,32,32,168,104,40,256,512,256,256,384,128,640,512,256,384,384,128,256,640,128,128,128,128,352,224,96,224,288,160,512,768,256,512,640,384,1024
12,16,256,128,128,192,224,224,224,256,256,192,192,192,192,128,64,64,144,144,144,256,384,384,256,320,320,448,384,384,320,320,320,256,448,448,256,256,256,320,320,320,256,288,288,512,640,640,512,544,544,1024
13,8,256,64,64,128,224,160,160,224,224,160,64,288,160,32,32,32,136,136,136,256,384,384,256,320,320,448,384,384,320,320,320,256,448,448,128,128,128,288,416,288,288,320,320,512,640,640,512,544,544,1024
14,8,256,64,64,128,224,160,160,224,224,160,64,160,288,32,32,32,200,200,200,256,384,384,256,320,320,448,384,384,320,320,320,256,448,448,128,128,128,416,288,416,288,320,320,512,640,640,512,544,544,1024
15,8,256,64,64,128,224,160,160,224,224,160,64,160,160,96,32,32,136,136,136,256,384,384,256,320,320,448,384,384,320,320,320,256,448,448,128,128,128,288,288,288,224,256,256,512,640,640,512,544,544,1024
16,32,256,128,128,192,192,160,96,192,128,128,128,128,128,96,128,96,128,96,64,256,384,256,192,256,128,352,256,192,224,192,128,160,256,128,256,192,160,256,192,128,160,192,128,512,512,256,320,352,224,1024
17,16,256,128,128,192,192,160,96,192,128,128,128,128,128,96,64,96,112,80,48,256,384,256,192,256,128,352,256,192,224,192,128,160,256,128,256,192,160,256,192,128,160,192,128,512,512,256,320,352,224,1024
18,4,64,16,16,64,144,144,16,144,16,64,16,16,16,16,16,16,324,100,4,64,256,64,64,144,16,400,256,64,144,144,16,64,400,16,64,64,64,400,144,16,144,256,64,256,576,64,256,400,144,1024
19,4,64,16,16,64,144,144,16,144,16,64,16,16,16,16,16,16,196,164,4,64,256,64,64,144,16,400,256,64,144,144,16,64,400,16,64,64,64,400,144,16,144,256,64,256,576,64,256,400,144,1024
20,4,64,16,16,64,144,144,16,144,16,64,16,16,16,16,16,16,196,100,132,64,256,64,64,144,16,400,256,64,144,144,16,64,400,16,64,64,64,400,144,16,144,256,64,256,576,64,256,400,144,1024
21,32,5120,1024,1024,2048,1920,1152,640,1536,1024,1472,1024,1024,1024,256,256,256,480,352,224,8192,7168,5120,3584,4608,2560,5120,3328,2816,3072,2304,1792,2048,2816,1792,2048,2048,704,2048,1536,1024,1152,1600,1088,16384,9216,5120,5632,3968,2688,32768
